code,name,unit_type,parent_code,contact_email,contact_phone,address
OFFICE-VICECHANCELLOR,Office of the Vice-Chancellor,ADMIN_OFFICE,,,,
OFFICE-REGISTRAR,Office of the Registrar,ADMIN_OFFICE,OFFICE-VICECHANCELLOR,,,
DEAN-ACADEMIC-AFFAIRS,"Dean, Academic Affairs",ADMIN_OFFICE,OFFICE-VICECHANCELLOR,,,
DEAN-RESEARCH,"Dean, Research",ADMIN_OFFICE,OFFICE-VICECHANCELLOR,,,
DEAN-COLLEGE-DEVELOPMENT-COU,"Dean, College Development Council",ADMIN_OFFICE,OFFICE-VICECHANCELLOR,,,
DEAN-DIRECTORATE-INTERNATION,"Dean, Directorate of International Affairs",ADMIN_OFFICE,OFFICE-VICECHANCELLOR,,,
DEAN-STUDENT-WELFARE,"Dean, Student Welfare",ADMIN_OFFICE,OFFICE-VICECHANCELLOR,,,
DEAN-ALUMNI-ASSOCIATION,"Dean, Alumni Association",ADMIN_OFFICE,OFFICE-VICECHANCELLOR,,,
DEAN-MULTIDISCIPLINARY-FIVE-,"Dean, Multi-Disciplinary Five Year Integrated Programmes (FYIPs)",ADMIN_OFFICE,OFFICE-VICECHANCELLOR,,,
EXAMINATION-BRANCH-CONTROLLE,Examination Branch (Controller of Examinations),ADMIN_OFFICE,OFFICE-VICECHANCELLOR,,,
PLANNING-MONITORING,Planning and Monitoring,ADMIN_OFFICE,OFFICE-VICECHANCELLOR,,,
INTERNAL-QUALITY-ASSURANCE-C,Internal Quality Assurance Cell (IQAC),ADMIN_OFFICE,OFFICE-VICECHANCELLOR,,,
UNIVERSITY-COMPUTER-CENTRE,University Computer Centre,ADMIN_OFFICE,OFFICE-VICECHANCELLOR,,,
LIBRARY,Library,ADMIN_OFFICE,OFFICE-VICECHANCELLOR,,,
DIRECTORATE-SPORTS,Directorate of Sports,ADMIN_OFFICE,OFFICE-VICECHANCELLOR,,,
PROVOST-OFFICE-HOSTELS,Provost Office (Hostels),ADMIN_OFFICE,OFFICE-VICECHANCELLOR,,,
PUBLIC-RELATIONS-OFFICE,Public Relations Office,ADMIN_OFFICE,OFFICE-VICECHANCELLOR,,,
RIGHT-TO-INFORMATION-RTI,Right to Information (RTI) Cell,ADMIN_OFFICE,OFFICE-VICECHANCELLOR,,,
STUDENT-GRIEVANCE-REDRESSAL-,Student Grievance Redressal Cell,ADMIN_OFFICE,OFFICE-VICECHANCELLOR,,,
INTERNAL-AUDIT-CELL,Internal Audit Cell,ADMIN_OFFICE,OFFICE-VICECHANCELLOR,,,
CENTRALIZED-ADMISSION-CELL-C,Centralized Admission Cell (CAC),ADMIN_OFFICE,OFFICE-VICECHANCELLOR,,,
CENTRE-DISTANCE-ONLINE-EDUCA,Centre for Distance and Online Education (CDOE),ADMIN_OFFICE,OFFICE-VICECHANCELLOR,,,
FACULTY-ARTS-CULTURE,Faculty of Arts and Culture,ADMIN_OFFICE,OFFICE-VICECHANCELLOR,,,
FACULTY-BUSINESS-STUDIES,Faculty of Business Studies,ADMIN_OFFICE,OFFICE-VICECHANCELLOR,,,
FACULTY-COMPUTING-SCIENCES,Faculty of Computing Sciences,ADMIN_OFFICE,OFFICE-VICECHANCELLOR,,,
FACULTY-EDUCATION-INFORMATIO,Faculty of Education and Information Science,ADMIN_OFFICE,OFFICE-VICECHANCELLOR,,,
FACULTY-ENGINEERING-TECHNOLO,Faculty of Engineering and Technology,ADMIN_OFFICE,OFFICE-VICECHANCELLOR,,,
FACULTY-LANGUAGES,Faculty of Languages,ADMIN_OFFICE,OFFICE-VICECHANCELLOR,,,
FACULTY-LAWS,Faculty of Laws,ADMIN_OFFICE,OFFICE-VICECHANCELLOR,,,
FACULTY-LIFE-SCIENCES,Faculty of Life Sciences,ADMIN_OFFICE,OFFICE-VICECHANCELLOR,,,
FACULTY-MEDICINE,Faculty of Medicine,ADMIN_OFFICE,OFFICE-VICECHANCELLOR,,,
FACULTY-PHYSICAL-SCIENCES,Faculty of Physical Sciences,ADMIN_OFFICE,OFFICE-VICECHANCELLOR,,,
FACULTY-SOCIAL-SCIENCES,Faculty of Social Sciences,ADMIN_OFFICE,OFFICE-VICECHANCELLOR,,,
DEPARTMENT-DANCE,Department of Dance,TEACHING_DEPT,FACULTY-ARTS-CULTURE,,,
DEPARTMENT-GURMAT-SANGEET,Department of Gurmat Sangeet,TEACHING_DEPT,FACULTY-ARTS-CULTURE,,,
